-2.8728270531	4.2343444824	-0.6537694335
-2.8656525612	4.2345046997	-0.6240240932
-2.8581471443	4.2335939407	-0.5940701962
-2.8550608158	4.2323269844	-0.5827135444
-2.8490288258	4.2204918861	-0.5706148148
-2.8400762081	4.2021245956	-0.5535204411
-2.8349173069	4.1911664009	-0.5440745354
-2.8207349777	4.1592531204	-0.5200322866
-2.8182916641	4.1536045074	-0.5160524845
-2.8157482147	4.1438803673	-0.5160569549
-2.8180198669	4.1341729164	-0.5358891487
-2.8244142532	4.1259770393	-0.5710852742
-2.8840534687	4.0826535225	-0.8636367321
-2.8907699585	4.0822782516	-0.8917269707
-2.8906064034	4.1782650948	-0.7875338197
-2.8890004158	4.2041006088	-0.7530517578
-2.8867816925	4.2140669823	-0.7331582308
-2.8821890354	4.2241053581	-0.7034013271
-2.8747916222	4.2333650589	-0.6629241109
